,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4740,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,65.0,-0.18460114407936581,1.062858366780978,-0.5645445957041111
5606,-0.1318488941758281,0.892604524157945,0.8439730562282588,0.20530997697770637,98.0,-0.10118292160925513,1.061018178391682,-0.636924452162015
4824,-0.7675661263256639,-1.4863720850857682,-0.2935371048475198,-0.6452599276442199,65.0,0.03784744917426266,1.062858366780978,-0.6514004234535958
4205,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,45.0,-0.10118292160925513,1.062858366780978,0.5501051937476106
3228,-0.1318488941758281,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,65.0,-0.10118292160925513,-0.33568480908379944,-0.5790205669956918
2745,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,88.0,-0.15679506992266223,-0.9521479194978789,1.0857161315361001
3611,-0.7675661263256639,-1.4863720850857682,-0.2935371048475198,-0.6452599276442199,45.0,-0.10118292160925513,1.061018178391682,0.37639353824864097
3491,-0.7675661263256639,-0.29688378046391156,1.9814832173040375,-0.6452599276442199,115.0,0.5939689323083338,-0.33568480908379944,-0.27502516987249503
1185,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,40.0,-0.045570773295848015,-0.9797507453373153,-0.6224484808704343
74,2.4110200344235153,0.892604524157945,0.8439730562282588,1.9064497862215586,110.0,0.14907174580107688,-0.33568480908379944,0.057922169833863356
1829,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,100.0,-0.18460114407936581,-0.9889516872837941,-0.3908329402051414
307,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,75.0,-0.18460114407936581,-0.9889516872837941,-0.5934965382872727
1307,1.1395855701238435,0.892604524157945,-0.2935371048475198,0.20530997697770637,90.0,-0.07337684745255157,-0.9926320640623857,-0.6079725095788534
3152,0.5038683379740078,0.892604524157945,0.8439730562282588,0.20530997697770637,56.0,-0.18460114407936581,-0.9613488614443577,-0.13026545695668704
2932,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,50.0,-0.12898899576595868,-0.9521479194978789,0.07239814112544415
3026,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,70.0,-0.18460114407936581,-0.9521479194978789,-0.11578948566510625
2008,3.0467372665733508,2.0820928287798015,4.256503539455595,2.7570196908434847,374.0,-0.18460114407936581,-0.9521479194978789,-0.6224484808704343
4194,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,99.0,-0.18460114407936581,-0.9797507453373153,0.18820591145809054
6099,-0.7675661263256639,-1.4863720850857682,-0.2935371048475198,-0.6452599276442199,70.0,-0.15679506992266223,1.062858366780978,-0.636924452162015
2495,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,85.0,-0.045570773295848015,-0.9521479194978789,-0.5211166818293687
444,1.7753028022736794,0.892604524157945,-0.2935371048475198,1.0558798815996326,69.0,0.5939689323083338,-0.9245450936584425,-0.5211166818293687
1548,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,68.0,-0.18460114407936581,1.062858366780978,-0.5934965382872727
5170,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,80.0,-0.21240721823606937,1.062858366780978,-0.6514004234535958
4941,3.6824544987231866,2.0820928287798015,1.9814832173040375,2.7570196908434847,450.0,-0.21240721823606937,1.062858366780978,0.47772533728970656
3258,1.1395855701238435,0.892604524157945,0.8439730562282588,1.0558798815996326,200.0,2.290139455867251,1.062858366780978,-0.21712128470617184
5401,1.1395855701238435,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,99.0,-0.21240721823606937,-0.9503077311085832,-0.4053089114967222
5529,1.1395855701238435,2.0820928287798015,1.9814832173040375,1.0558798815996326,130.0,-0.10118292160925513,1.062858366780978,-0.492164739246207
1610,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,69.0,-0.12898899576595868,1.062858366780978,0.20268188274967136
5511,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,65.0,-0.18460114407936581,-0.9852713105052027,-0.028933657915621445
6977,0.5038683379740078,0.892604524157945,1.9814832173040375,-1.495829832266146,100.0,-0.15679506992266223,-0.33568480908379944,-0.5645445957041111
6370,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,50.0,-0.15679506992266223,1.062858366780978,-0.5934965382872727
3371,0.5038683379740078,0.892604524157945,-0.2935371048475198,0.20530997697770637,67.0,-0.21240721823606937,-0.33568480908379944,4.6178531266818155
4828,1.1395855701238435,0.892604524157945,-0.2935371048475198,0.20530997697770637,250.0,-0.15679506992266223,1.062858366780978,-0.6514004234535958
